"Service","EC2-Instances($)","CloudWatch($)","EC2-Other($)","Total costs($)"
"Service total","5601.708753644","35.420161813","22.8889000549","5660.0178155119"
"2026-03-01","229.4463559","1.4524193761","1.2751463771","232.1739216532"
"2026-03-02","171.3087","1.1197580808","1.0288979212","173.457356002"
"2026-03-03","211.957708656","1.3326613101","0.858571481","214.1489414471"
"2026-03-04","211.5284641","1.3500000201","1.0131616607","213.8916257808"
"2026-03-05","183.306992096","1.1447580814","0.7888135165","185.2405636939"
"2026-03-06","155.734106332","0.9907258209","0.7621468094","157.4869789623"
"2026-03-07","190.979517996","1.2080645338","1.0107079108","193.1982904406"
"2026-03-08","225.05057492","1.4100806661","1.1226878884","227.5833434745"
"2026-03-09","196.077598884","1.2479838896","0.8440627598","198.1696455334"
"2026-03-10","165.688654852","1.0576613059","0.8386504089","167.5849665668"
"2026-03-11","202.54637574","1.3060484064","0.9680284901","204.8204526365"
"2026-03-12","195.664221572","1.25080647","0.6108776927","197.5259057347"
"2026-03-13","191.660130592","1.1919355012","0.4637942254","193.3158603186"
"2026-03-14","212.966845672","1.3322580845","0.6615978438","214.9607016003"
"2026-03-15","219.759051048","1.3608871169","0.7345645476","221.8545027125"
"2026-03-16","183.70697492","1.1278225975","0.4844113356","185.3192088531"
"2026-03-17","192.498242392","1.200000018","0.5093325891","194.2075749991"
"2026-03-18","203.401658496","1.2645161476","0.6410014903","205.3071761339"
"2026-03-19","193.465893804","1.2423387278","0.6294497596","195.3376822914"
"2026-03-20","172.05132852","1.0826613062","0.5844686744","173.7184585006"
"2026-03-21","163.097033644","1.0548387251","0.7332785854","164.8851509545"
"2026-03-22","194.017111936","1.2193548568","0.8540803659","196.0905471587"
"2026-03-23","168.698745604","1.0455645318","0.6395119772","170.383822113"
"2026-03-24","123.387881868","0.7762096888","0.5150806858","124.6791722426"
"2026-03-25","128.97037246","0.80403227","0.531921701","130.306326431"
"2026-03-26","158.83036836","0.9745967888","0.6317280854","160.4366932342"
"2026-03-27","164.743271344","1.0705645317","0.5911059015","166.4049417772"
"2026-03-28","141.134450296","0.892338723","0.6432164826","142.6700055016"
"2026-03-29","154.995997312","0.9979838855","0.7404998244","156.7344810219"
"2026-03-30","149.956717084","0.9483871109","0.4931036044","151.3982077993"
"2026-03-31","145.077407244","0.9629032397","0.6849994589","146.7253099426"
