"Service","EC2-Instances($)","EC2-Other($)","End User Messaging($)","Tax($)","S3($)","Savings Plans for  Compute usage($)","Redshift($)","CloudWatch($)","GuardDuty($)","Amazon Elastic Load Balancing($)","QuickSight($)","VPC($)","Backup($)","Glue($)","Transfer Family($)","DynamoDB($)","Amazon Elastic Container Service for Kubernetes($)","Kinesis Firehose($)","Config($)","ElastiCache($)","Security Hub($)","Athena($)","Key Management Service($)","SQS($)","Lambda($)","Claude Sonnet 4.6 (Amazon Bedrock Edition)($)","Secrets Manager($)","Amazon EC2 Container Registry (ECR)($)","Cost Explorer($)","CloudWatch Events($)","Amazon Bedrock($)","Systems Manager($)","SNS($)","Step Functions($)","CloudFormation($)","CloudTrail($)","Route 53($)","Total costs($)"
"Service total","7829.8901661738","7476.8597647307","4790.25","4532.9","4395.7681069975","3720","2612.463778168","2077.1746404124","1759.6062999309","1601.9938658408","1595.0966364653","1243.9507962355","986.1315723707","253.6387541787","223.5502433684","199.4897439123","148.8","113.0531038936","111.7993","45.384","36.25628","34.432227","23.727655014","13.0053809052","9.5965593871","2.8531866","1.9375643951","1.0699364672","0.49","0.275844","0.035872","0.01542","0.0143602214","0.0000635467","","","","45841.5111222153"
"2026-03-01","283.0219609572","246.345471695","85.53","4532.9","130.0544595813","120","84.440042016","47.4432203437","64.4288793664","42.8849393949","49.7734938216","27.3402003798","31.7317735389","2.01713841","7.2","3.719915001","4.8","2.3766762774","4.616","1.464","1.59733","","0.67391414","0.3300264873","0.4126356659","","0.0150132256","0.0312338616","","0.009403","","","0.0000570501","0.0000004577","","","","5775.1577846714"
"2026-03-02","226.5085605326","240.5009939929","129.99","","138.5423521123","120","84.647997123","68.7797634041","76.4900809359","58.4398018673","49.7734938216","44.3276928334","31.7512585213","1.97094636","7.2","6.0176137822","4.8","3.5336397335","6.7866","1.464","2.10194","","0.725784408","0.4355296872","0.360690132","","0.0145732256","0.0313416923","0.01","0.011255","","","0.0004373636","0.0000004594","","","","1305.2163469882"
"2026-03-03","285.8559352314","242.5233491402","116.82","","151.093558029","120","84.403046791","61.7498856181","84.0868017427","59.0583261065","49.7734938216","44.7317638178","31.7599760727","3.14823954","7.2","6.2422840631","4.8","3.6464077106","4.0276","1.464","1.41168","0.00009","0.71382572","0.4402927939","0.3897124772","","0.0336813599","0.031705236","0.01","0.009013","","","0.0003981182","","","","","1365.4250663899"
"2026-03-04","279.7853233806","289.9473514332","115.35","","235.471899019","120","84.481191557","121.9931418732","348.6011261066","58.4428085484","49.7724938216","43.4166417732","30.9991613487","90.347195835","7.2","6.2024524073","4.8","3.5964562781","4.1846","1.464","1.55152","0.080586","0.724965408","0.4377896872","0.4129210717","","0.066861128","0.031719111","","0.00943","","","0.0004047217","0.0000004577","","","","1899.3720409672"
"2026-03-05","253.0402540173","242.1289569905","139.2","","125.4868751828","120","83.694115328","65.0476660204","44.0738048855","59.0156482658","49.7734938216","44.2893783175","31.8329048795","10.5332483899","7.2872307836","6.6288946257","4.8","3.9031599453","4.3536","1.464","1.77805","0.00216","0.724827408","0.446360101","0.3760514301","","0.067011128","0.0324261534","","0.010087","","","0.0004368923","0.0000009154","","","","1299.9906424816"
"2026-03-06","225.512286033","233.3709203399","195.6","","130.6935402856","120","84.471917975","61.9615099994","57.3722082101","61.03343398","49.7734938216","46.5755175999","31.8460949802","6.1700891354","7.2","6.2990361849","4.8","3.621329257","3.2646","1.464","1.10278","0.00108","0.721983408","0.4729828151","0.3646715519","","0.066821128","0.033499434","0.01","0.008641","","","0.0005781301","0.000000766","","","","1333.8130160351"
"2026-03-07","273.1873191939","247.5631564952","159.9","","148.7917888774","120","84.441171673","56.8474044974","105.7291485086","52.9101643133","49.7734938216","37.3295862177","31.7399746955","2.7634801415","7.2","5.5043102516","4.8","3.2872083862","3.0995","1.464","1.03586","0.00045","0.721863408","0.411338858","0.4506933051","","0.066871128","0.0339165936","","0.00835","","","0.0004937183","0.0000009154","","","","1399.0615449993"
"2026-03-08","313.1803574926","248.178125312","123.09","","142.6354356551","120","84.474818519","45.9147588796","67.0634185541","44.9311746996","49.7734938216","29.8125641027","31.8359669438","2.7402696285","7.2","3.6466630949","4.8","2.1634582553","3.8075","1.464","1.18031","","0.723942408","0.3507452151","0.4625215105","","0.066896128","0.0339165936","","0.009031","","","0.0003975025","0.0000004857","","","","1329.5397658022"
"2026-03-09","254.6920510408","243.9514524065","191.46","","137.3095327694","120","84.498661825","61.6438999563","44.0933233667","62.042026856","49.7947818529","47.0617773207","31.8445892557","2.826243495","7.2","6.6442075017","4.8","3.8169752726","4.6925","1.464","1.34104","","0.720639322","0.4884768151","0.3673553793","","0.066786128","0.0339924287","0.01","0.009855","","","0.0005678913","0.0000004988","","","","1362.8747363825"
"2026-03-10","236.4934116153","246.093920624","202.2","","138.578426565","120","84.313271946","72.8405249444","46.2676886197","64.7908153775","49.816572045","49.4482836627","31.8504610078","2.8098840298","7.2","7.3470893142","4.8","4.2464717953","3.383","1.464","1.12453","0.00009","0.722820408","0.4961873009","0.3793732877","","0.066961128","0.0342946536","","0.008513","","","0.0006087647","0.0000014151","","","","1376.7772015047"
"2026-03-11","281.6991602455","288.4050147478","193.2","","139.649599453","120","84.522651249","94.7734371623","45.8316142583","58.3263927417","49.8603194962","44.538079645","31.085673914","2.8462401484","7.2","6.8562156447","4.8","3.8953411802","4.8885","1.464","1.37047","0.118062","0.721389408","0.4582832151","0.3618704133","","0.066536128","0.0342946536","0.01","0.009717","","0.000039","0.0005724831","0.0000004857","","","","1466.9934746729"
"2026-03-12","268.753904558","234.0055614603","180.66","","126.6959428072","120","84.289638046","105.3210857056","27.3620430876","56.3848488715","49.8927908355","45.7133858332","31.9168293559","3.7266400538","7.2874695393","7.3764175691","4.8","3.7034675731","3.7675","1.464","0.99862","20.481912","0.723165408","0.4485952151","0.2777384942","","0.067071128","0.0344052247","0.01","0.008659","","0.000039","0.0005479671","0.0000099986","","","","1386.1722887318"
"2026-03-13","263.783146811","220.4881511447","166.11","","147.4321195272","120","84.141148398","84.9962129774","43.6880720888","52.2556168511","49.9086065305","42.7190512644","31.9312182233","9.0876372861","7.2","6.97233114","4.8","3.434183709","2.6207","1.464","0.97567","0.12933","0.722328408","0.428536458","0.2352838038","","0.066876128","0.0347335861","0.01","0.008107","","","0.0005131861","0.0000010984","","","","1345.6435756199"
"2026-03-14","291.8117967088","231.477264154","147.87","","139.6136069118","120","84.19748492","51.9821298351","44.9853443444","44.62428395","49.9206713732","35.6212546325","31.8004354507","2.7529061538","7.2","6.1811838445","4.8","3.0478037345","3.7621","1.464","1.13552","","0.722964408","0.3917964151","0.2573595487","","0.066896128","0.0350530272","","0.008917","","0.012099","0.0004600582","0.0000005128","","","","1305.7433321113"
"2026-03-15","294.8087992156","246.173212664","114.3","","121.2549677841","120","84.242876542","103.9205659597","20.2070542043","38.184139607","49.9280730694","29.893810576","31.913788376","2.7024243527","7.2","11.7558091501","4.8","8.910360143","3.1557","1.464","1.03703","","0.723486408","0.3433860151","0.2870920648","","0.067021128","0.0350530272","","0.0087","","","0.000384129","0.0000005277","","","","1297.3177349437"
"2026-03-16","247.6433738254","237.5560819589","189.09","","128.5642179938","120","84.334511846","98.5313702287","21.2622753173","57.3536273262","49.9558743729","47.3285685622","31.920991137","2.8791246533","7.2","11.1876809446","4.8","7.176694302","2.6947","1.464","1.13504","0.067869","0.721368408","0.4583968151","0.2429284102","","0.066686128","0.0352238422","","0.008782","","","0.0005648648","0.0000004857","","","","1353.6799524223"
"2026-03-17","266.326608015","231.2944436292","184.08","","128.4155444426","120","84.226887878","58.0304994659","26.6498442385","55.6816638912","49.9795177581","46.12412422","31.8800906645","12.2543537123","7.2","7.4083702957","4.8","3.5366373657","2.2421","1.464","0.91341","0.395991","0.723165408","0.443733658","0.2392238677","","0.067056128","0.0354830504","0.01","0.00768","","","0.0005584755","0.0000120276","","","","1324.4309991919"
"2026-03-18","277.137338922","275.292484916","172.95","","134.3235568218","120","84.144271623","60.1308188453","31.9875359264","55.4309103562","49.9891559671","44.5617324812","31.1212158422","2.560258168","7.2","7.348463783","4.8","3.4984742309","2.4002","1.464","0.81091","1.61163","0.721671408","0.438186058","0.269941921","","0.066726128","0.0355384992","0.01","0.007761","","","0.0005251658","0.0000009434","","","","1370.3133090065"
"2026-03-19","272.996741916","239.7095906795","180.03","","127.2489236661","120","83.72072106","58.1604412834","24.9200298761","55.8118041399","50.0036878228","44.7759663918","31.9054257263","9.6338562599","7.2876744545","7.3503265644","4.8","3.4192956014","3.1341","1.464","1.20989","0.00009","0.726123408","0.459566058","0.2899642705","","0.067471128","0.0355384992","0.01","0.009002","","","0.0005589577","0.0000010247","","","","1329.1807907882"
"2026-03-20","244.1325365888","225.7938775364","181.32","","128.938657333","120","84.327241583","60.3387609827","26.2152361914","56.2238961775","51.1670089096","45.2770087261","31.9631972397","9.0580436637","7.2","7.4123906249","4.8","3.4700217794","3.3589","1.464","0.98223","0.66384","0.722433408","0.4519191448","0.271543561","","0.066741128","0.0355384992","0.01","0.00813","","","0.0005044183","0.0000005137","","","","1295.6736580092"
"2026-03-21","234.752899835","231.9542117825","147.18","","142.6810015956","120","84.302042147","50.0478681871","43.496645883","44.3900805894","52.7386200048","34.3730949418","31.8383680106","5.8437509162","7.2","5.9504317156","4.8","2.8326325512","4.0237","1.464","1.20848","","0.815127256","0.388532784","0.2959701751","","0.067106128","0.0355384992","","0.00901","","","0.0004345257","0.0000009852","","","","1252.689548513"
"2026-03-22","275.5008956702","234.7296045513","111","","126.7205484022","120","84.340905645","42.0600746123","25.3897858602","37.4064808764","52.7386200048","27.0958727289","31.9606531846","5.8378661994","7.2","4.0911643411","4.8","1.9492015001","3.7629","1.464","1.14053","","0.852899664","0.335187584","0.3321116701","","0.067106128","0.0355384992","","0.008935","","","0.0003557536","0.0000009852","","","","1200.8212388606"
"2026-03-23","244.0642030062","229.5378393296","155.16","","135.2011819594","120","84.426336994","53.0840043873","32.6141609984","47.6903044733","53.6257167648","38.3883917835","31.9678998526","5.8568468274","7.2","5.9273534725","4.8","3.1700558909","3.6443","1.464","1.17452","0.852651","0.853295664","0.4116004232","0.2519027266","","0.067191128","0.0355384992","0.01","0.009146","","0.003048","0.0004561774","0.0000014418","","","","1261.4919468001"
"2026-03-24","176.541253443","225.2448967577","169.71","","143.1108331712","120","84.11525735","60.6981181407","42.8255900325","50.0388073828","54.6741038448","40.7925807913","31.9309009668","7.5307880895","7.2","6.0491922527","4.8","3.3832647145","3.0736","1.464","1.04517","0.131832","0.851357664","0.4318519448","0.2291360518","","0.066901128","0.0355384992","0.01","0.008583","","0.000039","0.0004783798","0.0000005128","","","","1235.9940751179"
"2026-03-25","196.4409087348","275.8155505671","164.88","","144.5834734208","120","84.068150777","80.3479253823","44.3846603398","52.1590241913","54.6741038448","42.112840376","31.1628442221","7.8450806404","7.2","6.4641750942","4.8","3.8787221839","3.6671","1.464","1.28205","0.19296","0.851117664","0.4342748232","0.2559784676","","0.066861128","0.0355384992","0.01","0.009035","","0.000078","0.0004769284","0.0000014011","","","","1329.086931686"
"2026-03-26","233.3416456886","235.9557288185","158.19","","195.8994662441","120","84.113942525","71.6318816879","121.5669012708","50.308105272","54.6741038448","40.1512753","32.0941204955","7.150075149","7.287868591","7.6387726407","4.8","5.0842744628","2.9013","1.464","0.97368","5.917185","0.851939664","0.4138697016","0.2732258747","","0.067016128","0.0355384992","0.01","0.008212","","","0.0004672416","0.0000129066","","","","1442.8046090064"
"2026-03-27","243.136130089","222.2332535722","167.85","","140.9314990909","120","84.310145337","51.8413242251","36.6233738245","47.1961142287","54.6832460028","38.1337404745","32.1087008039","6.1973171994","7.2","5.3496025787","4.8","3.0224284455","3.4515","1.464","1.07698","0.08235","0.849698664","0.404426384","0.2434407861","","0.066826128","0.0355384992","0.01","0.009005","","","0.0004753129","0.0000009434","","","","1273.3111175898"
"2026-03-28","212.3586460657","223.5747802688","119.22","","130.9977773164","120","84.243220957","44.6650090116","30.431937996","38.1381244813","54.6924433776","30.0643892452","32.0007841055","5.8826761491","7.2","4.3310736828","4.8","2.4435056455","3.0353","1.464","1.07132","","0.850511664","0.356629584","0.2375495776","","0.066981128","0.0355384992","","0.008722","","","0.0003735147","0.0000009705","","","","1152.1712952405"
"2026-03-29","230.1419412626","224.386787549","90.45","","143.8638751138","120","84.370688837","38.0522472957","42.6586665526","32.3872354638","54.7028314647","24.5991655432","32.1352642977","5.7433783665","7.2","3.1376805302","4.8","1.7582306989","3.7157","1.464","1.11194","","0.849131664","0.3167155448","0.2568508297","0.4654914","0.066786128","0.0355384992","0.07","0.008839","0.035872","0.000039","0.0002940962","0.0000004857","","","","1148.7851916233"
"2026-03-30","224.5884116733","225.5063818139","149.52","","145.7545816093","120","84.106667486","80.0354818874","44.8911043572","49.9907101097","54.7318073448","40.6885596411","32.1458345081","8.1662320079","7.2","5.5902189576","4.8","3.1416427653","2.7583","1.464","0.62733","0.00045","0.849179664","0.4177239073","0.2276639703","1.768338","0.066891128","0.0355384992","0.12","0.00825","","","0.0004378858","0.0000070521","","","","1289.2017442683"
"2026-03-31","218.6523644046","237.1213483999","188.34","","145.2288642563","120","84.052752215","64.3036076123","43.4079429865","58.4625554505","54.7570293606","46.6644970522","32.1551747496","4.7565232168","7.2","6.8584228586","4.8","4.1050825045","3.5256","1.464","0.75045","3.701619","0.850733664","0.4624394112","0.2831570909","0.6193572","0.067341128","0.0356438084","0.14","0.009074","","0.000039","0.0005405469","0.0000018728","","","","1332.7761617896"
